Fecha,Mes,Precipitación (mm),Dpto
01/04/2021,abr-21,124,Rosario del Tala
01/05/2021,may-21,0,Rosario del Tala
01/05/2020,may-20,23,C del Uruguay
01/06/2020,jun-20,13,C del Uruguay
01/07/2020,jul-20,2,C del Uruguay
01/08/2020,ago-20,28,C del Uruguay
01/09/2020,sep-20,87,C del Uruguay
01/10/2020,oct-20,0,C del Uruguay
01/11/2020,nov-20,0,C del Uruguay
01/12/2020,dic-20,42,C del Uruguay
01/01/2021,ene-21,6,C del Uruguay
01/02/2021,feb-21,0,C del Uruguay
01/03/2021,mar-21,0,C del Uruguay
01/04/2021,abr-21,0,C del Uruguay
01/05/2021,may-21,0,C del Uruguay
01/05/2020,may-20,0,Victoria
01/06/2020,jun-20,44,Victoria
01/07/2020,jul-20,10,Victoria
01/08/2020,ago-20,9,Victoria
01/09/2020,sep-20,36,Victoria
01/10/2020,oct-20,17,Victoria
01/11/2020,nov-20,76,Victoria
01/12/2020,dic-20,40,Victoria
01/01/2021,ene-21,67,Victoria
01/02/2021,feb-21,24,Victoria
01/03/2021,mar-21,38,Victoria
01/04/2021,abr-21,97,Victoria
01/05/2021,may-21,0,Victoria
01/05/2020,may-20,64,Villaguay
01/06/2020,jun-20,67,Villaguay
01/07/2020,jul-20,12,Villaguay
01/08/2020,ago-20,35,Villaguay
01/09/2020,sep-20,48,Villaguay
01/10/2020,oct-20,0,Villaguay
01/11/2020,nov-20,53,Villaguay
01/12/2020,dic-20,91,Villaguay
01/01/2021,ene-21,74,Villaguay
01/02/2021,feb-21,30,Villaguay
01/03/2021,mar-21,84,Villaguay
01/04/2021,abr-21,181,Villaguay
01/05/2021,may-21,0,Villaguay
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
